participant,age_prolific,sex_prolific,nationality_prolific,language_prolific,native_languages_qual,other_languages_qual,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,FJ_test.keys,FJ_test.rt
5a0c036857cee70001767a58,,,,,,,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,
5a0c036857cee70001767a59,,,,,,,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,
5a0c036857cee70001767a60,,,,,,,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,
5a0c036857cee70001767a61,,,,,,,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,
5a0c036857cee70001767a62,,,,,,,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,
5a0c036857cee70001767a63,,,,,,,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,
5a0c036857cee70001767a64,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,3.1527,,
5a0c036857cee70001767a65,,,,,,,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,
5a0c036857cee70001767a66,,,,,,,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,
5a0c036857cee70001767a67,,,,,,,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,
5a0c036857cee70001767a68,,,,,,,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,
5a0c036857cee70001767a69,,,,,,,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,
5a0c036857cee70001767a70,,,,,,,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,
5a0c036857cee70001767a71,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,azha.jpg,LEFT,,f,1.7368,,
5a0c036857cee70001767a72,,,,,,,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,
5a0c036857cee70001767a73,,,,,,,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,
5a0c036857cee70001767a74,,,,,,,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,
5a0c036857cee70001767a75,,,,,,,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,
5a0c036857cee70001767a76,,,,,,,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,
5a0c036857cee70001767a77,,,,,,,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,
5a0c036857cee70001767a78,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,0.9422,,
5a0c036857cee70001767a79,,,,,,,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,
5a0c036857cee70001767a80,,,,,,,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,
5a0c036857cee70001767a81,,,,,,,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,
5a0c036857cee70001767a82,,,,,,,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,
5a0c036857cee70001767a83,,,,,,,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,
5a0c036857cee70001767a84,,,,,,,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,
5a0c036857cee70001767a85,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,0.3044,,
5a0c036857cee70001767a86,,,,,,,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,
5a0c036857cee70001767a87,,,,,,,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,
5a0c036857cee70001767a88,,,,,,,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,
5a0c036857cee70001767a89,,,,,,,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,
5a0c036857cee70001767a90,,,,,,,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,
5a0c036857cee70001767a91,,,,,,,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,
5a0c036857cee70001767a92,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_izhi.wav,exe.jpg,LEFT,,f,2.19,,
5a0c036857cee70001767a93,,,,,,,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,
5a0c036857cee70001767a94,,,,,,,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,
5a0c036857cee70001767a95,,,,,,,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,
5a0c036857cee70001767a96,,,,,,,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,
5a0c036857cee70001767a97,,,,,,,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,
5a0c036857cee70001767a98,,,,,,,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,
5a0c036857cee70001767a99,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_ezhe.wav,izhi.jpg,LEFT,,f,1.2384,,
5a0c036857cee70001767a100,,,,,,,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,
5a0c036857cee70001767a101,,,,,,,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,
5a0c036857cee70001767a102,,,,,,,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,
5a0c036857cee70001767a103,,,,,,,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,
5a0c036857cee70001767a104,,,,,,,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,
5a0c036857cee70001767a105,,,,,,,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,
5a0c036857cee70001767a106,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_azha.wav,ixi.jpg,LEFT,,f,0.8663,,
5a0c036857cee70001767a107,,,,,,,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,
5a0c036857cee70001767a108,,,,,,,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,
5a0c036857cee70001767a109,,,,,,,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,
5a0c036857cee70001767a110,,,,,,,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,
5a0c036857cee70001767a111,,,,,,,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,
5a0c036857cee70001767a112,,,,,,,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,
5a0c036857cee70001767a113,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,j,0.4526,,
5a0c036857cee70001767a114,,,,,,,3,testing_pre,,,,afa.wav,aha.wav,,FALSE,,,,j,6.5616
5a0c036857cee70001767a115,,,,,,,2,testing_pre,,,,auhau.wav,aufau.wav,,FALSE,,,,j,2.0569
5a0c036857cee70001767a116,,,,,,,4,testing_pre,,,,eihei.wav,eihei.wav,,TRUE,,,,f,0.9917
5a0c036857cee70001767a117,,,,,,,5,testing_pre,,,,ihi.wav,ifi.wav,,FALSE,,,,f,3.0032
5a0c036857cee70001767a118,,,,,,,1,testing_pre,,,,ifi.wav,ifi.wav,,TRUE,,,,f,0.8256
5a0c036857cee70001767a119,,,,,,,94,testing_3,j2x,i,j2x_i,j2x_8_ixi.wav,j2x_8_ixi.wav,,TRUE,FALSE,,,f,0.8055
5a0c036857cee70001767a120,,,,,,,14,testing_2,zh2x,ai,zh2x_ai,zh2x_8_aixai.wav,zh2x_8_aixai.wav,,TRUE,FALSE,,,f,0.5547
5a0c036857cee70001767a121,,,,,,,67,testing_3,zh2j,ei,zh2j_ei,zh2j_1_eizhei.wav,zh2j_8_eijei.wav,,FALSE,FALSE,,,f,0.627
5a0c036857cee70001767a122,,,,,,,99,testing_3,sh2x,a,sh2x_a,sh2x_1_asha.wav,sh2x_8_axa.wav,,FALSE,FALSE,,,j,0.7019
5a0c036857cee70001767a123,,,,,,,37,testing_3,zh2sh,e,zh2sh_e,zh2sh_1_ezhe.wav,zh2sh_1_ezhe.wav,,TRUE,FALSE,,,f,0.5203
5a0c036857cee70001767a124,,,,,,,63,testing_3,zh2j,e,zh2j_e,zh2j_1_ezhe.wav,zh2j_8_eje.wav,,FALSE,FALSE,,,j,0.7861
5a0c036857cee70001767a125,,,,,,,113,testing_3,sh2x,ei,sh2x_ei,sh2x_1_eishei.wav,sh2x_1_eishei.wav,,TRUE,FALSE,,,f,0.3768
5a0c036857cee70001767a126,,,,,,,20,testing_2,zh2x,au,zh2x_au,zh2x_8_auxau.wav,zh2x_1_auzhau.wav,,FALSE,FALSE,,,j,0.5507
5a0c036857cee70001767a127,,,,,,,125,testing_3,sh2j,ai,sh2j_ai,sh2j_1_aishai.wav,sh2j_1_aishai.wav,,TRUE,FALSE,,,f,0.4241
5a0c036857cee70001767a128,,,,,,,4,testing_1,zh2x,a,zh2x_a,zh2x_8_axa.wav,zh2x_1_azha.wav,,FALSE,TRUE,,,j,0.5406
5a0c036857cee70001767a129,,,,,,,46,testing_3,zh2sh,i,zh2sh_i,zh2sh_8_ishi.wav,zh2sh_8_ishi.wav,,TRUE,FALSE,,,f,0.5516
5a0c036857cee70001767a130,,,,,,,62,testing_3,zh2j,e,zh2j_e,zh2j_8_eje.wav,zh2j_8_eje.wav,,TRUE,FALSE,,,f,0.1844
5a0c036857cee70001767a131,,,,,,,50,testing_3,zh2j,a,zh2j_a,zh2j_8_aja.wav,zh2j_8_aja.wav,,TRUE,FALSE,,,f,0.3193
5a0c036857cee70001767a132,,,,,,,28,testing_3,zh2sh,a,zh2sh_a,zh2sh_8_asha.wav,zh2sh_1_azha.wav,,FALSE,FALSE,,,j,0.1771
5a0c036857cee70001767a133,,,,,,,11,testing_1,zh2x,i,zh2x_i,zh2x_1_izhi.wav,zh2x_8_ixi.wav,,FALSE,TRUE,,,j,0.2745
5a0c036857cee70001767a134,,,,,,,135,testing_3,sh2j,e,sh2j_e,sh2j_1_eshe.wav,sh2j_8_eje.wav,,FALSE,FALSE,,,j,0.4688
5a0c036857cee70001767a135,,,,,,,31,testing_3,zh2sh,ai,zh2sh_ai,zh2sh_1_aizhai.wav,zh2sh_8_aishai.wav,,FALSE,FALSE,,,j,0.4274
5a0c036857cee70001767a136,,,,,,,86,testing_3,j2x,e,j2x_e,j2x_8_exe.wav,j2x_8_exe.wav,,TRUE,FALSE,,,f,0.4573
5a0c036857cee70001767a137,,,,,,,118,testing_3,sh2x,i,sh2x_i,sh2x_8_ixi.wav,sh2x_8_ixi.wav,,TRUE,FALSE,,,f,0.2193
5a0c036857cee70001767a138,,,,,,,39,testing_3,zh2sh,e,zh2sh_e,zh2sh_1_ezhe.wav,zh2sh_8_eshe.wav,,FALSE,FALSE,,,j,0.4844
5a0c036857cee70001767a139,,,,,,,107,testing_3,sh2x,au,sh2x_au,sh2x_1_aushau.wav,sh2x_8_auxau.wav,,FALSE,FALSE,,,j,0.2681
5a0c036857cee70001767a140,,,,,,,21,testing_2,zh2x,ei,zh2x_ei,zh2x_1_eizhei.wav,zh2x_1_eizhei.wav,,TRUE,FALSE,,,f,0.1514
5a0c036857cee70001767a141,,,,,,,108,testing_3,sh2x,au,sh2x_au,sh2x_8_auxau.wav,sh2x_1_aushau.wav,,FALSE,FALSE,,,j,0.3708
5a0c036857cee70001767a142,,,,,,,10,testing_1,zh2x,i,zh2x_i,zh2x_8_ixi.wav,zh2x_8_ixi_copy.wav,,TRUE,TRUE,,,f,0.3508
5a0c036857cee70001767a143,,,,,,,91,testing_3,j2x,ei,j2x_ei,j2x_1_eijei.wav,j2x_8_eixei.wav,,FALSE,FALSE,,,j,0.4508
5a0c036857cee70001767a144,,,,,,,100,testing_3,sh2x,a,sh2x_a,sh2x_8_axa.wav,sh2x_1_asha.wav,,FALSE,FALSE,,,j,0.6348
5a0c036857cee70001767a145,,,,,,,25,testing_3,zh2sh,a,zh2sh_a,zh2sh_1_azha.wav,zh2sh_1_azha.wav,,TRUE,FALSE,,,f,0.1402
5a0c036857cee70001767a146,,,,,,,35,testing_3,zh2sh,au,zh2sh_au,zh2sh_1_auzhau.wav,zh2sh_8_aushau.wav,,FALSE,FALSE,,,j,0.1511
5a0c036857cee70001767a147,,,,,,,138,testing_3,sh2j,ei,sh2j_ei,sh2j_8_eijei.wav,sh2j_8_eijei.wav,,TRUE,FALSE,,,f,0.1173
5a0c036857cee70001767a148,,,,,,,36,testing_3,zh2sh,au,zh2sh_au,zh2sh_8_aushau.wav,zh2sh_1_auzhau.wav,,FALSE,FALSE,,,j,0.0838
5a0c036857cee70001767a149,,,,,,,42,testing_3,zh2sh,ei,zh2sh_ei,zh2sh_8_eishei.wav,zh2sh_8_eishei.wav,,TRUE,FALSE,,,f,0.1003
5a0c036857cee70001767a150,,,,,,,123,testing_3,sh2j,a,sh2j_a,sh2j_1_asha.wav,sh2j_8_aja.wav,,FALSE,FALSE,,,j,0.234
5a0c036857cee70001767a151,,,,,,,105,testing_3,sh2x,au,sh2x_au,sh2x_1_aushau.wav,sh2x_1_aushau.wav,,TRUE,FALSE,,,f,0.06
5a0c036857cee70001767a152,,,,,,,33,testing_3,zh2sh,au,zh2sh_au,zh2sh_1_auzhau.wav,zh2sh_1_auzhau.wav,,TRUE,FALSE,,,f,0.084
5a0c036857cee70001767a153,,,,,,,69,testing_3,zh2j,i,zh2j_i,zh2j_1_izhi.wav,zh2j_1_izhi.wav,,TRUE,FALSE,,,f,0.314
5a0c036857cee70001767a154,,,,,,,32,testing_3,zh2sh,ai,zh2sh_ai,zh2sh_8_aishai.wav,zh2sh_1_aizhai.wav,,FALSE,FALSE,,,j,0.1675
5a0c036857cee70001767a155,,,,,,,59,testing_3,zh2j,au,zh2j_au,zh2j_1_auzhau.wav,zh2j_8_aujau.wav,,FALSE,FALSE,,,j,0.423
5a0c036857cee70001767a156,,,,,,,128,testing_3,sh2j,ai,sh2j_ai,sh2j_8_aijai.wav,sh2j_1_aishai.wav,,FALSE,FALSE,,,j,0.2577
5a0c036857cee70001767a157,,,,,,,117,testing_3,sh2x,i,sh2x_i,sh2x_1_ishi.wav,sh2x_1_ishi.wav,,TRUE,FALSE,,,f,0.2512
5a0c036857cee70001767a158,,,,,,,2,testing_1,zh2x,a,zh2x_a,zh2x_8_axa.wav,zh2x_8_axa_copy.wav,,TRUE,TRUE,,,f,0.2177
5a0c036857cee70001767a159,,,,,,,27,testing_3,zh2sh,a,zh2sh_a,zh2sh_1_azha.wav,zh2sh_8_asha.wav,,FALSE,FALSE,,,j,0.0906
5a0c036857cee70001767a160,,,,,,,90,testing_3,j2x,ei,j2x_ei,j2x_8_eixei.wav,j2x_8_eixei.wav,,TRUE,FALSE,,,f,0.1927
5a0c036857cee70001767a161,,,,,,,82,testing_3,j2x,au,j2x_au,j2x_8_auxau.wav,j2x_8_auxau.wav,,TRUE,FALSE,,,f,0.2837
5a0c036857cee70001767a162,,,,,,,61,testing_3,zh2j,e,zh2j_e,zh2j_1_ezhe.wav,zh2j_1_ezhe.wav,,TRUE,FALSE,,,f,0.4103
5a0c036857cee70001767a163,,,,,,,137,testing_3,sh2j,ei,sh2j_ei,sh2j_1_eishei.wav,sh2j_1_eishei.wav,,TRUE,FALSE,,,f,0.133
5a0c036857cee70001767a164,,,,,,,41,testing_3,zh2sh,ei,zh2sh_ei,zh2sh_1_eizhei.wav,zh2sh_1_eizhei.wav,,TRUE,FALSE,,,f,0.1738
5a0c036857cee70001767a165,,,,,,,55,testing_3,zh2j,ai,zh2j_ai,zh2j_1_aizhai.wav,zh2j_8_aijai.wav,,FALSE,FALSE,,,j,0.1676
